                                mean        sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
area_r[12, 1]                371.023   265.301    26.539   638.917     92.660   23.637      11.0     148.0   1.89
area_r[12, 2]               1347.871   205.295  1104.818  1623.570     71.234   12.866      11.0     180.0   1.89
area_r[13, 0]                  0.000     0.000     0.000     0.000      0.000      NaN    4000.0    4000.0    NaN
area_r[13, 1]                350.086   246.588    25.411   591.831     86.104   22.074      11.0     130.0   1.88
area_r[13, 2]               1382.114   187.259  1161.245  1638.431     64.912   12.573      11.0     137.0   1.89
area_total[0, 0]             131.505    38.652    42.921   193.842      9.884    7.755      22.0      23.0   1.27
area_total[0, 1]            5405.549   100.224  5247.406  5580.187     32.942   14.778      10.0      24.0   2.13
area_total[0, 2]             197.894    66.679   110.914   310.426     21.867    4.926      12.0     128.0   1.84
area_total[1, 0]            1813.552    47.159  1690.466  1868.554     15.016   15.865      20.0      23.0   1.30
area_total[1, 1]            3356.428   101.947  3198.066  3526.572     34.514   15.151      10.0      23.0   2.17
area_total[1, 2]             357.513   108.887   230.622   522.906     37.319    9.559      12.0     122.0   1.84
area_total[2, 0]            2452.518    58.284  2300.645  2515.011     19.464   21.377      18.0      24.0   1.38
area_total[2, 1]            2290.485   146.567  2067.759  2492.270     50.614   16.242      10.0      23.0   2.13
area_total[2, 2]             635.838   176.486   448.722   891.489     61.281   15.262      11.0     129.0   1.89
area_total[3, 0]            2696.453    50.959  2568.344  2764.368     16.068   16.430      19.0      24.0   1.34
area_total[3, 1]            1537.785   110.617  1370.575  1742.300     37.348   18.512      10.0      24.0   2.18
area_total[3, 2]            1064.194   133.372   913.636  1270.897     45.700   11.637      12.0     139.0   1.79
area_total[4, 0]            2140.873   368.910  1540.370  2666.910    117.646   14.702      12.0     124.0   1.82
area_total[4, 1]             491.461   138.281   250.042   729.048     40.622   13.476      12.0      62.0   1.75
area_total[4, 2]            1558.794   498.833   868.331  2202.611    169.736    8.579      12.0     119.0   1.77
area_total[5, 0]            1750.916   250.884  1082.989  1889.438     87.517   98.801      16.0      25.0   1.43
area_total[5, 1]             712.432   517.521    51.181  1238.056    181.075   44.212      11.0     109.0   1.89
area_total[5, 2]            2850.120   611.148  2165.176  3542.696    213.717    5.524      12.0      52.0   1.77
area_total[6, 0]            1627.873   199.660  1089.110  1738.740     69.585   78.621      18.0      24.0   1.40
area_total[6, 1]             682.235   487.498    48.637  1163.296    170.532   43.134      11.0     116.0   1.89
area_total[6, 2]            3025.592   567.190  2402.385  3686.409    198.316   13.953      12.0     135.0   1.86
area_total[7, 0]             136.266    35.624    42.670   176.345     11.451   11.897      21.0      23.0   1.30
area_total[7, 1]            2653.518    62.915  2557.297  2773.427     21.009   11.930      10.0      24.0   2.19
area_total[7, 2]             161.258    52.884    92.573   245.199     17.752    4.475      11.0     116.0   1.87
area_total[8, 0]            1205.023    44.915  1086.355  1242.826     15.352   17.240      18.0      23.0   1.37
area_total[8, 1]            1178.231    84.712  1059.373  1334.688     29.272   15.052      10.0      25.0   2.20
area_total[8, 2]             391.792   118.703   271.441   563.450     41.288   10.669      11.0     160.0   1.89
area_total[9, 0]            1319.543   126.289   982.432  1394.657     43.922   49.975      19.0      24.0   1.37
area_total[9, 1]             685.165   153.885   462.827   869.953     53.615   15.122      10.0      24.0   2.15
area_total[9, 2]             726.507   225.938   478.715  1006.871     78.788    9.470      12.0     149.0   1.86
area_total[10, 0]           1292.557    37.675  1191.447  1323.444     12.837   14.297      18.0      24.0   1.36
area_total[10, 1]            326.348    92.504   209.351   509.830     31.968   18.931      10.0      24.0   2.20
area_total[10, 2]           1088.403   123.404   966.406  1265.482     42.921   10.982      13.0     122.0   1.66
area_total[11, 0]            872.584    55.151   748.113   963.887     15.137   13.233      20.0      23.0   1.31
area_total[11, 1]            172.993   100.443    43.651   378.572     33.935   24.068      10.0      23.0   2.20
area_total[11, 2]           1621.811   122.138  1469.719  1828.637     40.582   10.148      13.0     118.0   1.65
area_total[12, 0]            821.161   111.444   523.450   890.528     38.748   43.743      19.0      23.0   1.34
area_total[12, 1]            395.111   259.365    51.120   656.668     90.551   23.077      11.0     131.0   1.89
area_total[12, 2]           1569.346   331.938  1201.332  1980.382    115.952   16.305      11.0     119.0   1.89
area_total[13, 0]            844.941   100.043   578.349   908.297     34.747   39.232      20.0      23.0   1.32
area_total[13, 1]            377.308   240.942    53.866   615.563     84.091   21.540      11.0     116.0   1.88
area_total[13, 2]           1601.795   310.421  1260.679  1995.903    108.420   18.605      11.0     131.0   1.89
area_artefact_typical[0]     201.671   130.765    26.933   356.084     45.604   12.817      10.0      24.0   2.17
area_artefact_typical[1]     180.618    89.867    77.796   310.056     31.042    6.248      11.0     170.0   1.89
baseline_intercept[0]        527.126   103.008   335.251   717.854     13.738    6.551      62.0      67.0   1.09
baseline_intercept[1]        645.144    74.567   500.184   779.562     12.430    1.036      36.0     303.0   1.14
baseline_intercept[2]        827.438    82.763   667.480   959.525     21.432    3.071      16.0     166.0   1.44
baseline_intercept[3]        661.533    96.900   480.580   840.347     21.452    1.834      21.0     230.0   1.30
baseline_intercept[4]       1653.778   851.655   398.440  3150.984    251.118   17.105      13.0     267.0   1.62
baseline_intercept[5]        676.614    75.744   501.261   793.189     10.995   11.126      59.0     125.0   1.17
baseline_intercept[6]        672.972    79.125   499.467   779.348     17.550    9.108      22.0     122.0   1.27
baseline_intercept[7]        521.218    53.447   421.203   616.604      5.424    1.040      99.0     409.0   1.05
